Time,Status
11:25:14,Mask
11:25:14,No Mask
11:25:14,Mask
11:25:14,No Mask
11:25:14,Mask
11:25:14,No Mask
11:25:14,No Mask
11:25:14,Mask
11:25:14,No Mask
11:25:14,Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,No Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:15,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:16,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:17,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,No Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,Mask
11:25:18,No Mask
11:25:18,Mask
11:25:18,Mask
11:25:19,Mask
11:25:19,Mask
11:25:19,Mask
11:25:19,Mask
11:25:19,Mask
11:25:19,No Mask
11:25:19,Mask
11:25:19,Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,No Mask
11:25:19,Mask
11:25:19,No Mask
11:25:19,Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,Mask
11:25:20,Mask
11:25:20,No Mask
11:25:20,Mask
11:25:20,Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:20,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,No Mask
11:25:21,Mask
11:25:21,Mask
11:25:21,Mask
11:25:21,Mask
11:25:21,Mask
11:25:21,Mask
11:25:21,Mask
11:25:22,No Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,No Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:22,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,No Mask
11:25:23,Mask
11:25:23,Mask
11:25:23,No Mask
11:25:24,Mask
11:25:24,No Mask
11:25:24,Mask
11:25:24,Mask
11:25:24,No Mask
11:25:24,Mask
11:25:24,No Mask
11:25:24,Mask
11:25:24,No Mask
11:25:24,No Mask
11:25:24,Mask
11:25:24,No Mask
11:25:24,Mask
11:25:24,Mask
11:25:24,No Mask
11:25:24,No Mask
11:25:24,No Mask
11:25:24,Mask
11:25:24,Mask
